[2026-06-22T21:37:56.693191+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T00:04:43.055846+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# BUY
[2026-06-23T00:44:59.014581+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# BUY
[2026-06-23T00:50:43.107170+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# BUY
[2026-06-23T00:52:25.865783+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# BUY
[2026-06-23T01:02:42.014627+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# BUY
[2026-06-23T07:00:38.934824+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T07:02:59.752559+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T07:32:26.404817+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T07:36:18.336468+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T08:05:26.472065+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T08:15:19.757159+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T08:26:48.786807+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:26:48.807200+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:26:48.818742+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:26:48.857824+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T08:26:48.969012+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T08:26:49.000280+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:26:49.008619+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:26:49.018106+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:26:49.024352+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:26:49.037107+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:29:25.644062+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:29:25.679437+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:29:25.692016+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:29:25.728707+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T08:29:25.775402+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T08:29:25.794766+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:29:25.821644+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:29:25.836901+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:29:25.844909+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:29:25.858224+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:31:08.011802+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:31:08.056817+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:31:08.073174+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:31:08.099152+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T08:31:08.120751+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T08:31:08.128281+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:31:08.141966+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:31:08.152383+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:31:08.159433+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:31:08.172872+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T08:38:40.591048+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T09:06:17.737773+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T09:09:08.967235+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T10:51:18.393776+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T11:47:47.565211+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T11:51:23.256697+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T12:17:40.610224+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T12:39:34.136380+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T12:52:25.320951+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:06:17.041920+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:09:52.534797+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:24:35.313944+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:25:35.647136+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:30:29.583614+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:38:49.741598+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:49:52.270746+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:49:52.487518+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:49:52.591306+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:49:52.645312+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:49:52.690401+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:49:52.726743+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:49:52.784341+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:49:52.889801+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.160658+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.270201+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:52:09.444449+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:52:09.536191+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.545112+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.560432+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.572428+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.578499+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
