expectancy,hour,losses,pnl,profit_factor,trades,win_rate,wins
-14.382872,0,64,-1265.692757,0.544181,88,0.272727,24
-11.47447,1,88,-1434.308772,0.646648,125,0.296,37
-0.892028,10,156,-231.927357,0.967463,260,0.4,104
-2.25502,11,165,-581.795126,0.926036,258,0.360465,93
13.231881,12,81,2011.245914,1.506446,152,0.467105,71
8.747587,13,72,1189.671836,1.335222,136,0.470588,64
7.847792,14,92,1263.494579,1.280702,161,0.428571,69
0.731978,15,91,107.600731,1.024816,147,0.380952,56
5.449966,16,113,1079.093276,1.197161,198,0.429293,85
0.165844,17,110,29.354452,1.00563,177,0.378531,67
1.720514,18,107,299.369451,1.057122,174,0.385057,67
4.685946,19,61,492.024294,1.161319,105,0.419048,44
-7.523989,2,58,-647.063026,0.762645,86,0.325581,28
1.877854,20,60,193.418951,1.065077,103,0.417476,43
-1.357914,21,60,-130.359777,0.95612,96,0.375,36
10.266988,22,54,1016.431818,1.38339,99,0.454545,45
-7.712934,23,65,-748.154616,0.740602,97,0.329897,32
-0.68862,3,67,-74.370935,0.976154,108,0.37963,41
-11.55515,4,100,-1629.276132,0.630127,141,0.29078,41
-14.892912,5,103,-2085.007723,0.576288,140,0.264286,37
-9.757718,6,80,-1170.926198,0.684432,120,0.333333,40
-6.66074,7,78,-799.288767,0.780907,120,0.35,42
-0.189394,8,102,-30.492385,0.993516,161,0.36646,59
4.901073,9,128,1127.246835,1.195299,230,0.443478,102
