big_setup_direction_bias,big_setup_grade,big_setup_is_discount,big_setup_is_premium,big_setup_missing_data,big_setup_reason,big_setup_risk_ok,big_setup_safety_ok,big_setup_score,big_setup_status,big_setup_tags,big_setup_time_ok,closed_at,day_of_week,direction,entry,entry_signal_time,exit_price,exit_reason,local_hour,opened_at,pnl_money,pnl_r,result,risk_reward,safety_guard_action,safety_guard_is_weekend,safety_guard_local_hour,safety_guard_reason,safety_guard_rules_triggered,safety_guard_status,safety_guard_timezone,session,signal_before_guard,sl,spread,strategy,symbol,tp
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,31,TAG_ONLY,[],True,2026-03-02T07:50:00+00:00,MONDAY,BUY,66967.4,2026-03-02T07:40:00+00:00,66828.10714286,SL_HIT,7,2026-03-02T07:45:00+00:00,-50.0,-1.0,LOSS,2.05169,ALLOW_PAPER_OPEN,False,7,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,LONDON,BUY,66828.10714286,2250.0,BREAKOUT_RETEST,BTCUSD#,67253.18571429
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,31,TAG_ONLY,[],True,2026-03-02T11:50:00+00:00,MONDAY,BUY,66528.8,2026-03-02T11:15:00+00:00,66298.62142857,SL_HIT,11,2026-03-02T11:20:00+00:00,-50.0,-1.0,LOSS,1.699798,ALLOW_PAPER_OPEN,False,11,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,BUY,66298.62142857,2250.0,BREAKOUT_RETEST,BTCUSD#,66920.05714286
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,31,TAG_ONLY,[],True,2026-03-02T15:20:00+00:00,MONDAY,SELL,65871.9,2026-03-02T15:00:00+00:00,66006.67857143,SL_HIT,15,2026-03-02T15:05:00+00:00,-50.0,-1.0,LOSS,1.522921,ALLOW_PAPER_OPEN,False,15,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OVERLAP,SELL,66006.67857143,2250.0,BREAKOUT_RETEST,BTCUSD#,65666.64285714
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,31,TAG_ONLY,[],True,2026-03-02T16:30:00+00:00,MONDAY,SELL,65473.5,2026-03-02T15:45:00+00:00,65687.53214286,SL_HIT,16,2026-03-02T15:50:00+00:00,-50.0,-1.0,LOSS,1.555674,ALLOW_PAPER_OPEN,False,15,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,NEW_YORK,SELL,65687.53214286,2250.0,BREAKOUT_RETEST,BTCUSD#,65140.53571429
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,31,TAG_ONLY,[],True,2026-03-02T16:25:00+00:00,MONDAY,SELL,65428.1,2026-03-02T15:50:00+00:00,65643.925,SL_HIT,16,2026-03-02T15:55:00+00:00,-50.0,-1.0,LOSS,1.589019,ALLOW_PAPER_OPEN,False,15,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,NEW_YORK,SELL,65643.925,2250.0,BREAKOUT_RETEST,BTCUSD#,65085.15
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-03-02T17:10:00+00:00,MONDAY,BUY,67258.7,2026-03-02T17:00:00+00:00,67886.27857143,TP_HIT,17,2026-03-02T17:05:00+00:00,85.503664,1.710073,WIN,1.710073,ALLOW_PAPER_OPEN,False,17,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,BUY,66891.71071429,2250.0,BREAKOUT_RETEST,BTCUSD#,67886.27857143
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-03-02T17:40:00+00:00,MONDAY,BUY,68630.9,2026-03-02T17:20:00+00:00,69482.57142857,TP_HIT,17,2026-03-02T17:25:00+00:00,96.117694,1.922354,WIN,1.922354,ALLOW_PAPER_OPEN,False,17,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,BUY,68187.86428571,2250.0,BREAKOUT_RETEST,BTCUSD#,69482.57142857
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-03-02T18:40:00+00:00,MONDAY,BUY,68859.7,2026-03-02T17:30:00+00:00,69785.0,TP_HIT,18,2026-03-02T17:35:00+00:00,88.191003,1.76382,WIN,1.76382,ALLOW_PAPER_OPEN,False,17,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,BUY,68335.1,2250.0,BREAKOUT_RETEST,BTCUSD#,69785.0
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-03-02T17:50:00+00:00,MONDAY,BUY,69494.4,2026-03-02T17:40:00+00:00,69001.69285714,SL_HIT,17,2026-03-02T17:45:00+00:00,-50.0,-1.0,LOSS,1.846359,ALLOW_PAPER_OPEN,False,17,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,BUY,69001.69285714,2250.0,BREAKOUT_RETEST,BTCUSD#,70404.11428571
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,False,36,TAG_ONLY,[],True,2026-03-02T18:35:00+00:00,MONDAY,BUY,69725.0,2026-03-02T18:05:00+00:00,69124.06785714,SL_HIT,18,2026-03-02T18:10:00+00:00,-50.0,-1.0,LOSS,1.549367,ALLOW_PAPER_OPEN,False,18,CAUTION_CONTEXT,['BTC_CAUTION_HOUR'],CAUTION,Africa/Casablanca,OFF_SESSION,BUY,69124.06785714,2250.0,BREAKOUT_RETEST,BTCUSD#,70656.06428571
