bpr_detected,cisd_detected,detected_concepts,expected_concepts,fixture,fvg_detected,ifvg_detected,key_level_retest,missing_expected_concepts,mss_detected,ob_detected,ote_detected,price_zone,qml_detected,rbs_detected,sbr_detected,status,sweep_detected
False,True,"ob_detected,mss_detected,cisd_detected,sweep_detected",cisd_detected,bearish_cisd.csv,False,False,True,,True,True,False,DISCOUNT,False,False,False,PASS,True
False,False,fvg_detected,fvg_detected,bearish_fvg.csv,True,False,False,,False,False,False,DISCOUNT,False,False,False,PASS,False
False,False,"fvg_detected,ifvg_detected",ifvg_detected,bearish_ifvg.csv,True,True,False,,False,False,False,PREMIUM,False,False,False,PASS,False
False,True,"ob_detected,mss_detected,cisd_detected,sweep_detected",mss_detected,bearish_mss.csv,False,False,True,,True,True,False,DISCOUNT,False,False,False,PASS,True
False,False,ob_detected,ob_detected,bearish_ob.csv,False,False,True,,False,True,False,DISCOUNT,False,False,False,PASS,False
True,False,"fvg_detected,ifvg_detected,bpr_detected",bpr_detected,bpr.csv,True,True,False,,False,False,False,DISCOUNT,False,False,False,PASS,False
False,True,"ob_detected,mss_detected,cisd_detected,sweep_detected",cisd_detected,bullish_cisd.csv,False,False,True,,True,True,False,PREMIUM,False,False,False,PASS,True
False,False,fvg_detected,fvg_detected,bullish_fvg.csv,True,False,False,,False,False,False,PREMIUM,False,False,False,PASS,False
False,False,"fvg_detected,ifvg_detected",ifvg_detected,bullish_ifvg.csv,True,True,False,,False,False,False,DISCOUNT,False,False,False,PASS,False
False,False,"mss_detected,sweep_detected",mss_detected,bullish_mss.csv,False,False,False,,True,False,False,PREMIUM,False,False,False,PASS,True
False,False,ob_detected,ob_detected,bullish_ob.csv,False,False,True,,False,True,False,PREMIUM,False,False,False,PASS,False
False,False,"fvg_detected,ote_detected",ote_detected,buy_ote.csv,True,False,True,,False,False,True,DISCOUNT,False,False,False,PASS,False
False,False,,,neutral_range.csv,False,False,False,,False,False,False,DISCOUNT,False,False,False,PASS,False
False,False,"fvg_detected,mss_detected,rbs_detected,qml_detected,sweep_detected",qml_detected,qml_buy.csv,True,False,True,,True,False,False,PREMIUM,True,True,False,PASS,True
False,True,"fvg_detected,ob_detected,mss_detected,cisd_detected,sbr_detected,qml_detected,sweep_detected",qml_detected,qml_sell.csv,True,False,True,,True,True,False,DISCOUNT,True,False,True,PASS,True
False,False,"fvg_detected,rbs_detected",rbs_detected,rbs_buy.csv,True,False,True,,False,False,False,PREMIUM,False,True,False,PASS,False
False,False,"fvg_detected,sbr_detected",sbr_detected,sbr_sell.csv,True,False,True,,False,False,False,DISCOUNT,False,False,True,PASS,False
False,False,"fvg_detected,ote_detected",ote_detected,sell_ote.csv,True,False,True,,False,False,True,PREMIUM,False,False,False,PASS,False
