time,open,high,low,close,tick_volume,spread,real_volume
1777658400,1.17664,1.17696,1.17522,1.1754,5086,19,0
1777662000,1.1754,1.1756199999999999,1.17368,1.17373,3987,19,0
1777665600,1.17371,1.17394,1.17282,1.17321,2362,19,0
1777669200,1.17321,1.1733,1.17185,1.17263,2348,19,0
1777672800,1.17263,1.1727400000000001,1.17168,1.1718600000000001,992,19,0
1777676400,1.1718600000000001,1.17214,1.17135,1.17148,1744,19,0
1777852800,1.17437,1.17476,1.17309,1.17366,525,40,0
1777856400,1.17377,1.17408,1.17258,1.17322,1343,19,0
1777860000,1.17323,1.17323,1.1724,1.17248,970,19,0
1777863600,1.17246,1.17278,1.17205,1.1726,2364,19,0
1777867200,1.17259,1.1728399999999999,1.17191,1.17242,2320,19,0
1777870800,1.17242,1.17276,1.17216,1.17264,1663,19,0
1777874400,1.17265,1.1738,1.17236,1.17365,3398,19,0
1777878000,1.17366,1.17372,1.17265,1.17281,1673,19,0
1777881600,1.17281,1.17313,1.17248,1.17297,2048,19,0
1777885200,1.17297,1.17362,1.17205,1.17278,2437,19,0
1777888800,1.17277,1.17281,1.17143,1.17169,2558,19,0
1777892400,1.17167,1.17222,1.17104,1.17181,1988,19,0
1777896000,1.17185,1.17227,1.17149,1.17164,1870,19,0
1777899600,1.17163,1.17163,1.16878,1.17042,7264,19,0
1777903200,1.17044,1.17075,1.1691799999999999,1.16922,3735,19,0
1777906800,1.16923,1.17115,1.16911,1.17082,3502,19,0
1777910400,1.17082,1.17169,1.17011,1.17139,4900,19,0
1777914000,1.1714,1.17153,1.17033,1.17062,4567,19,0
1777917600,1.17062,1.17147,1.1693,1.16964,7530,19,0
1777921200,1.16965,1.16998,1.168,1.16812,6582,19,0
1777924800,1.1681300000000001,1.16962,1.16807,1.16924,3100,19,0
1777928400,1.16923,1.1696900000000001,1.16872,1.16962,2777,19,0
1777932000,1.1696,1.17012,1.16924,1.1694,3007,19,0
1777935600,1.1694,1.1694,1.16862,1.16879,914,19,0
1777939200,1.16879,1.16898,1.16852,1.16886,115,36,0
1777942800,1.169,1.16906,1.16877,1.1689,335,19,0
1777946400,1.1689,1.16919,1.1688399999999999,1.16906,297,19,0
1777950000,1.16905,1.16929,1.1684,1.16853,1198,19,0
1777953600,1.16854,1.16872,1.16787,1.16858,1748,19,0
1777957200,1.16858,1.16904,1.16852,1.16865,1123,19,0
1777960800,1.16863,1.16872,1.16825,1.1683,753,19,0
1777964400,1.16829,1.16863,1.1676,1.16768,1133,19,0
1777968000,1.16767,1.16835,1.16755,1.16822,1592,19,0
1777971600,1.1682,1.16886,1.16784,1.16849,2466,19,0
1777975200,1.16849,1.16955,1.1684700000000001,1.16881,2701,19,0
1777978800,1.16879,1.16958,1.16839,1.16878,2313,19,0
1777982400,1.16878,1.16919,1.16801,1.16892,3178,19,0
1777986000,1.16892,1.16967,1.1686,1.16885,1919,19,0
1777989600,1.1688399999999999,1.16937,1.1682299999999999,1.16881,2593,19,0
1777993200,1.1688,1.16968,1.16843,1.16914,3875,19,0
1777996800,1.16913,1.17037,1.16911,1.16961,3671,19,0
1778000400,1.16963,1.17049,1.16906,1.17047,4798,19,0
1778004000,1.17047,1.17126,1.17001,1.17055,3478,19,0
1778007600,1.17055,1.17077,1.1697,1.16983,1785,19,0
1778011200,1.16985,1.17031,1.16951,1.16978,1985,19,0
1778014800,1.16978,1.16998,1.16961,1.16989,1005,19,0
1778018400,1.16993,1.17002,1.16933,1.16943,1173,19,0
1778022000,1.16943,1.16959,1.16905,1.1690800000000001,781,19,0
1778025600,1.16901,1.16925,1.16853,1.16915,113,29,0
1778029200,1.16914,1.17083,1.16906,1.17044,1455,19,0
1778032800,1.17044,1.17244,1.17041,1.17136,2589,19,0
1778036400,1.17138,1.17205,1.17102,1.17192,3278,19,0
1778040000,1.1718899999999999,1.1724999999999999,1.17167,1.17203,2880,19,0
1778043600,1.17202,1.17238,1.17146,1.17164,1938,19,0
1778047200,1.17163,1.1722,1.17153,1.17168,1436,19,0
1778050800,1.17167,1.1742,1.17153,1.1736,5976,19,0
1778054400,1.17359,1.17371,1.17291,1.1732,3125,19,0
1778058000,1.17321,1.17346,1.17273,1.17324,3061,19,0
1778061600,1.17324,1.17372,1.17235,1.17367,3646,19,0
