time,open,high,low,close,tick_volume,spread,real_volume
1779998700,1.16557,1.16557,1.16525,1.16547,195,18,0
1779999000,1.16548,1.16551,1.16526,1.1654,208,18,0
1779999300,1.16541,1.16541,1.16527,1.16528,157,18,0
1779999600,1.16528,1.16534,1.1651799999999999,1.16526,112,18,0
1779999900,1.16525,1.16526,1.16499,1.165,175,18,0
1780000200,1.16501,1.1653,1.165,1.16524,131,18,0
1780000500,1.16523,1.16529,1.16505,1.16516,173,18,0
1780000800,1.16517,1.1652,1.16501,1.16504,103,18,0
1780001100,1.16504,1.16517,1.16504,1.1651,143,18,0
1780001400,1.1651,1.16521,1.16504,1.1651799999999999,102,18,0
1780001700,1.16519,1.16535,1.16516,1.16525,94,18,0
1780002000,1.16524,1.16541,1.16517,1.16526,206,18,0
1780002300,1.16526,1.16534,1.1651799999999999,1.16526,195,18,0
1780002600,1.16526,1.16527,1.16491,1.16512,182,18,0
1780002900,1.16513,1.16545,1.165,1.16527,348,18,0
1780003200,1.16527,1.16531,1.16477,1.16498,343,18,0
1780003500,1.16498,1.16499,1.16476,1.1648,253,18,0
1780003800,1.1648,1.1648399999999999,1.16463,1.16467,113,18,0
1780004100,1.16468,1.16477,1.16458,1.16461,207,18,0
1780004400,1.16461,1.16469,1.1645699999999999,1.16466,150,18,0
1780004700,1.16465,1.16476,1.16464,1.16476,144,18,0
1780005000,1.16474,1.16492,1.16471,1.1649,163,18,0
1780005300,1.16488,1.16492,1.16468,1.16471,132,18,0
1780005600,1.16467,1.16482,1.1645699999999999,1.16472,197,18,0
1780005900,1.16473,1.16475,1.16454,1.1646,144,18,0
1780006200,1.16461,1.16475,1.16456,1.16463,143,18,0
1780006500,1.16464,1.16472,1.16462,1.16471,95,18,0
1780006800,1.16471,1.16476,1.1647,1.1647,109,18,0
1780007100,1.16471,1.1648,1.1647,1.16479,107,18,0
1780007400,1.1648,1.16496,1.1648,1.16493,130,18,0
1780007700,1.16493,1.16503,1.16492,1.16501,100,18,0
1780008000,1.16497,1.16499,1.16483,1.16491,109,18,0
1780008300,1.16491,1.16506,1.16485,1.16506,130,18,0
1780008600,1.16504,1.16504,1.1648100000000001,1.16495,128,18,0
1780008900,1.16496,1.16496,1.16459,1.16466,307,18,0
1780009200,1.16465,1.16468,1.16441,1.16442,150,18,0
1780009500,1.16441,1.16471,1.1644,1.16467,76,18,0
1780009800,1.16465,1.16466,1.16456,1.16462,104,18,0
1780010100,1.16463,1.16469,1.16459,1.16464,79,18,0
1780010400,1.16465,1.16468,1.16453,1.16454,53,18,0
1780010700,1.16453,1.16463,1.16453,1.1645699999999999,70,18,0
1780011000,1.1645699999999999,1.16473,1.16455,1.16472,57,18,0
1780011300,1.16472,1.16474,1.16466,1.16471,58,18,0
1780011600,1.16471,1.16473,1.16466,1.16466,51,18,0
1780011900,1.16468,1.16477,1.16466,1.16473,96,19,0
1780012200,1.16473,1.1648399999999999,1.16471,1.16482,89,19,0
1780012500,1.1648100000000001,1.1649,1.16474,1.1649,184,19,0
1780012800,1.16454,1.1648100000000001,1.16453,1.16478,10,74,0
1780013100,1.16479,1.16494,1.16479,1.16494,22,60,0
1780013400,1.16497,1.16506,1.16494,1.16494,24,48,0
1780013700,1.1649,1.16496,1.1649,1.16496,64,52,0
1780014000,1.16491,1.16496,1.1649,1.16495,87,50,0
1780014300,1.16496,1.16496,1.16491,1.16492,56,50,0
1780014600,1.16492,1.16495,1.16491,1.16491,34,49,0
1780014900,1.16491,1.16494,1.1649,1.1649,43,49,0
1780015200,1.16491,1.16504,1.1649,1.16491,25,43,0
1780015500,1.1649,1.16495,1.16489,1.16495,66,32,0
1780015800,1.16495,1.16495,1.16491,1.16492,35,48,0
1780016100,1.16493,1.16496,1.16488,1.16488,46,32,0
1780016400,1.16488,1.16503,1.16488,1.16501,42,25,0
1780016700,1.165,1.16503,1.16492,1.16495,65,26,0
1780017000,1.16495,1.16511,1.16493,1.16509,74,18,0
1780017300,1.1650800000000001,1.1650800000000001,1.16504,1.16504,34,20,0
1780017600,1.16504,1.1651,1.16502,1.16505,43,20,0
1780017900,1.16504,1.16506,1.16504,1.16504,75,21,0
1780018200,1.16505,1.16505,1.16494,1.16499,57,20,0
1780018500,1.16499,1.16499,1.16494,1.16497,30,21,0
1780018800,1.16497,1.16499,1.16492,1.16496,33,19,0
1780019100,1.16496,1.16496,1.16489,1.16491,42,18,0
1780019400,1.16492,1.16502,1.16492,1.16501,30,19,0
1780019700,1.16502,1.16505,1.16491,1.16492,30,18,0
1780020000,1.16491,1.1652,1.16491,1.16511,133,18,0
1780020300,1.1651,1.16511,1.16503,1.16504,40,18,0
1780020600,1.16503,1.1650800000000001,1.16503,1.16506,20,19,0
1780020900,1.16507,1.16512,1.16504,1.16505,41,18,0
1780021200,1.16505,1.16509,1.16504,1.1650800000000001,25,19,0
1780021500,1.16507,1.1650800000000001,1.16505,1.16505,25,19,0
1780021800,1.16505,1.16505,1.16497,1.16502,31,18,0
1780022100,1.16504,1.16515,1.16501,1.1650800000000001,37,18,0
1780022400,1.16509,1.16511,1.16501,1.16507,36,18,0
1780022700,1.16505,1.16512,1.16504,1.1651,39,18,0
1780023000,1.1651,1.16522,1.16506,1.16514,45,18,0
1780023300,1.16514,1.16517,1.1650800000000001,1.16516,61,18,0
1780023600,1.16515,1.16532,1.16511,1.16531,230,18,0
1780023900,1.16532,1.16538,1.16516,1.1651799999999999,141,18,0
1780024200,1.16519,1.16526,1.16513,1.16524,137,18,0
1780024500,1.16522,1.16533,1.16513,1.16532,142,18,0
1780024800,1.16533,1.16547,1.16531,1.16531,105,18,0
1780025100,1.16531,1.1654200000000001,1.16525,1.16529,178,18,0
1780025400,1.1653,1.1653,1.16491,1.16492,125,18,0
1780025700,1.16493,1.16502,1.16488,1.16493,137,18,0
1780026000,1.16494,1.16507,1.1649,1.16505,120,18,0
1780026300,1.16506,1.16507,1.16495,1.16504,88,18,0
1780026600,1.16503,1.16511,1.16491,1.16492,125,18,0
1780026900,1.16495,1.16495,1.16465,1.16478,133,18,0
1780027200,1.16478,1.16493,1.1647,1.16483,235,18,0
1780027500,1.1648399999999999,1.1653,1.16482,1.16527,208,18,0
1780027800,1.16528,1.16549,1.16527,1.1654200000000001,205,18,0
1780028100,1.16541,1.16554,1.16533,1.16547,204,18,0
1780028400,1.16546,1.16556,1.16541,1.16543,144,18,0
1780028700,1.16544,1.16547,1.16528,1.16531,138,18,0
1780029000,1.1653,1.16531,1.16506,1.16507,166,18,0
1780029300,1.16506,1.16512,1.16485,1.1649,104,18,0
1780029600,1.16491,1.16504,1.16483,1.16486,166,18,0
1780029900,1.16486,1.16486,1.16445,1.16458,173,18,0
1780030200,1.16459,1.16466,1.16446,1.16446,162,18,0
1780030500,1.1644700000000001,1.16459,1.16425,1.16437,189,18,0
1780030800,1.16437,1.16449,1.16426,1.16435,215,18,0
1780031100,1.16435,1.16454,1.16425,1.16435,164,18,0
1780031400,1.16434,1.16464,1.16433,1.16463,97,18,0
1780031700,1.16463,1.16467,1.1645699999999999,1.16458,73,18,0
1780032000,1.1645699999999999,1.1647,1.1645699999999999,1.16458,69,18,0
1780032300,1.1645699999999999,1.1645699999999999,1.1644700000000001,1.16456,47,18,0
1780032600,1.16455,1.16467,1.16448,1.16466,64,18,0
1780032900,1.16466,1.16474,1.16459,1.16474,67,18,0
1780033200,1.16476,1.16483,1.16474,1.16477,51,18,0
1780033500,1.16477,1.16483,1.16467,1.16468,79,18,0
1780033800,1.16468,1.16468,1.16449,1.1645,64,18,0
1780034100,1.16451,1.16453,1.16439,1.1644,89,18,0
1780034400,1.1644,1.16442,1.16412,1.16426,128,18,0
1780034700,1.16427,1.1643,1.16407,1.16407,104,18,0
1780035000,1.16405,1.16407,1.16394,1.16399,92,18,0
1780035300,1.16399,1.16403,1.16388,1.16397,114,18,0
1780035600,1.16398,1.16408,1.1639599999999999,1.16402,108,18,0
1780035900,1.16401,1.16403,1.16388,1.16402,136,18,0
1780036200,1.16401,1.16404,1.16388,1.16391,111,18,0
1780036500,1.16391,1.16392,1.16355,1.16364,113,18,0
1780036800,1.16364,1.16375,1.16354,1.16375,81,18,0
1780037100,1.16376,1.16381,1.16365,1.16365,82,18,0
1780037400,1.16365,1.1637,1.16356,1.16365,118,18,0
1780037700,1.16364,1.16366,1.1635,1.16364,107,18,0
1780038000,1.16363,1.16382,1.1636,1.16378,118,18,0
1780038300,1.16378,1.16383,1.1637,1.1638,72,18,0
1780038600,1.16381,1.16383,1.16366,1.16368,63,18,0
1780038900,1.16367,1.16373,1.1635,1.16358,116,18,0
1780039200,1.16356,1.1636,1.1635,1.16356,104,18,0
1780039500,1.16356,1.1635900000000001,1.16345,1.16349,103,18,0
1780039800,1.16348,1.16351,1.16334,1.1633499999999999,72,18,0
1780040100,1.16334,1.16351,1.16333,1.1635,83,18,0
1780040400,1.1635,1.16383,1.1635,1.1638,73,18,0
1780040700,1.1638,1.16381,1.16371,1.16371,48,18,0
1780041000,1.16371,1.16378,1.16361,1.16376,82,18,0
1780041300,1.16376,1.16383,1.16366,1.16382,71,18,0
1780041600,1.16383,1.16387,1.16372,1.16375,111,18,0
1780041900,1.16375,1.16403,1.16375,1.16397,90,18,0
1780042200,1.16395,1.16417,1.16395,1.16414,88,18,0
1780042500,1.16413,1.16427,1.16407,1.16427,93,18,0
1780042800,1.16426,1.16427,1.1641,1.16412,74,18,0
1780043100,1.16413,1.16418,1.16404,1.16406,64,18,0
1780043400,1.16406,1.16415,1.16402,1.16407,72,18,0
1780043700,1.16407,1.16408,1.16387,1.16392,94,18,0
1780044000,1.16391,1.16398,1.1638600000000001,1.16392,105,18,0
1780044300,1.16391,1.16398,1.16389,1.16392,106,18,0
1780044600,1.16391,1.16407,1.1638600000000001,1.16403,89,18,0
1780044900,1.16402,1.16418,1.16401,1.16412,105,18,0
1780045200,1.16411,1.16443,1.16411,1.16434,203,18,0
1780045500,1.16433,1.16452,1.16429,1.16439,158,18,0
1780045800,1.16439,1.16469,1.16437,1.16468,115,18,0
1780046100,1.16467,1.16467,1.16452,1.1645699999999999,96,18,0
1780046400,1.16456,1.16467,1.16445,1.16461,198,18,0
1780046700,1.16463,1.16467,1.16443,1.16446,206,18,0
1780047000,1.1644700000000001,1.16493,1.16442,1.16467,280,18,0
1780047300,1.16468,1.1648399999999999,1.16461,1.16483,204,18,0
1780047600,1.16483,1.16487,1.16465,1.1648399999999999,236,18,0
1780047900,1.16487,1.1651799999999999,1.16479,1.16497,179,18,0
1780048200,1.16497,1.16502,1.16485,1.16497,170,18,0
1780048500,1.16497,1.16535,1.16496,1.16525,246,18,0
1780048800,1.16522,1.16524,1.16492,1.16502,305,18,0
1780049100,1.16502,1.1652,1.16487,1.16492,189,18,0
1780049400,1.16493,1.1650800000000001,1.16476,1.1648100000000001,255,18,0
1780049700,1.1648100000000001,1.16497,1.16467,1.16486,195,18,0
1780050000,1.16486,1.16492,1.16429,1.16429,235,18,0
1780050300,1.16427,1.16432,1.16406,1.16426,274,18,0
1780050600,1.16426,1.16435,1.164,1.16434,206,18,0
1780050900,1.16434,1.16435,1.16371,1.16371,285,18,0
1780051200,1.16372,1.16427,1.16369,1.16424,314,18,0
1780051500,1.16424,1.16438,1.16393,1.16395,217,18,0
1780051800,1.1639599999999999,1.16417,1.16387,1.16391,112,18,0
1780052100,1.16397,1.16416,1.16393,1.1641,281,18,0
1780052400,1.16406,1.16406,1.16343,1.16356,514,18,0
1780052700,1.16357,1.16369,1.16332,1.16341,310,18,0
1780053000,1.1634,1.16348,1.16336,1.16341,198,18,0
1780053300,1.16342,1.16361,1.16329,1.16354,220,18,0
1780053600,1.16356,1.1636199999999999,1.16339,1.16356,238,18,0
1780053900,1.16357,1.16383,1.16342,1.16381,184,18,0
1780054200,1.1638,1.16388,1.16363,1.16378,193,18,0
1780054500,1.16377,1.16384,1.16348,1.1636199999999999,217,18,0
1780054800,1.16363,1.16373,1.16352,1.16364,178,18,0
1780055100,1.16364,1.16364,1.16306,1.16306,178,18,0
1780055400,1.16306,1.16309,1.16265,1.16266,346,18,0
1780055700,1.16267,1.16271,1.16241,1.1627,377,18,0
1780056000,1.16269,1.1632,1.16257,1.16318,231,18,0
1780056300,1.16319,1.16334,1.16318,1.16323,191,18,0
1780056600,1.16323,1.16355,1.16323,1.16353,219,18,0
1780056900,1.16353,1.16376,1.16341,1.16356,225,18,0
1780057200,1.16356,1.16356,1.16331,1.16341,254,18,0
1780057500,1.1634,1.1636199999999999,1.16339,1.16356,233,18,0
1780057800,1.16356,1.16363,1.16331,1.16337,213,18,0
1780058100,1.16336,1.16342,1.16322,1.1634,212,18,0
1780058400,1.16341,1.1635900000000001,1.1633,1.1635900000000001,125,18,0
1780058700,1.16357,1.16377,1.16357,1.16372,193,18,0
1780059000,1.16372,1.16388,1.16372,1.16388,158,18,0
1780059300,1.16387,1.16418,1.16381,1.16406,217,18,0
1780059600,1.16407,1.16407,1.1637,1.16378,197,18,0
1780059900,1.16377,1.16419,1.16377,1.16418,172,18,0
1780060200,1.16417,1.16442,1.16417,1.1644,244,18,0
1780060500,1.1644,1.16442,1.16397,1.16409,194,18,0
1780060800,1.16408,1.16419,1.16401,1.16402,179,18,0
1780061100,1.16401,1.16419,1.16391,1.16417,173,18,0
1780061400,1.16418,1.16424,1.16411,1.16419,150,18,0
1780061700,1.1642000000000001,1.16435,1.16417,1.16424,130,18,0
1780062000,1.16424,1.16425,1.16404,1.16416,149,18,0
1780062300,1.16417,1.16432,1.16413,1.16414,154,18,0
1780062600,1.16414,1.16419,1.16399,1.16408,129,18,0
1780062900,1.16408,1.1643,1.16402,1.16422,190,18,0
1780063200,1.16421,1.16437,1.16414,1.16432,218,18,0
1780063500,1.16433,1.1644,1.16415,1.16417,172,18,0
1780063800,1.16415,1.1642299999999999,1.164,1.16413,121,18,0
1780064100,1.16413,1.16422,1.16404,1.16411,132,18,0
1780064400,1.16412,1.16413,1.16391,1.16403,181,18,0
1780064700,1.16404,1.16427,1.16399,1.16424,183,18,0
1780065000,1.1642299999999999,1.16424,1.1639599999999999,1.16401,156,18,0
1780065300,1.164,1.16452,1.16398,1.16451,169,18,0
1780065600,1.16451,1.16459,1.16445,1.1644700000000001,141,18,0
1780065900,1.16448,1.16464,1.1644,1.16441,124,18,0
1780066200,1.1644,1.16448,1.16404,1.16436,501,18,0
1780066500,1.16436,1.16474,1.1643,1.16465,252,18,0
1780066800,1.16466,1.16477,1.16436,1.16436,214,18,0
1780067100,1.16435,1.16453,1.16424,1.16427,230,18,0
1780067400,1.16428,1.16461,1.1642000000000001,1.16449,273,18,0
1780067700,1.16448,1.16462,1.16445,1.16456,183,18,0
1780068000,1.16456,1.1645699999999999,1.16442,1.1644700000000001,181,18,0
1780068300,1.16446,1.16462,1.1643,1.16454,125,18,0
1780068600,1.16454,1.1645699999999999,1.16405,1.16437,281,18,0
1780068900,1.16437,1.16461,1.16433,1.16439,226,18,0
1780069200,1.16438,1.16448,1.16434,1.16444,203,18,0
1780069500,1.16443,1.16452,1.16428,1.16451,187,18,0
1780069800,1.1645,1.16465,1.1644,1.16446,308,18,0
1780070100,1.16446,1.16482,1.16442,1.1648,198,18,0
1780070400,1.1648100000000001,1.16487,1.16456,1.1648,350,18,0
1780070700,1.1648100000000001,1.16482,1.1645699999999999,1.16459,215,18,0
1780071000,1.1646,1.1648,1.1645699999999999,1.16464,211,18,0
1780071300,1.16465,1.16493,1.16464,1.1649,203,18,0
1780071600,1.16491,1.16522,1.16473,1.1648,303,18,0
1780071900,1.1648100000000001,1.16498,1.16478,1.1649,225,18,0
1780072200,1.16489,1.16513,1.16482,1.16507,355,18,0
1780072500,1.16507,1.16507,1.1648,1.16485,252,18,0
1780072800,1.1648399999999999,1.16504,1.16471,1.16499,227,18,0
1780073100,1.16498,1.16503,1.16473,1.1648,322,18,0
1780073400,1.16479,1.1648399999999999,1.16439,1.16463,341,18,0
1780073700,1.16464,1.16489,1.16455,1.16464,295,18,0
1780074000,1.16465,1.16488,1.16443,1.16483,385,18,0
1780074300,1.1648399999999999,1.165,1.16479,1.1649,256,18,0
1780074600,1.1649,1.16498,1.16424,1.16427,325,18,0
1780074900,1.16425,1.16439,1.16408,1.16411,359,18,0
1780075200,1.16411,1.16444,1.16411,1.16427,333,18,0
1780075500,1.16427,1.16453,1.1642299999999999,1.16451,396,18,0
1780075800,1.16451,1.1647,1.16443,1.16462,445,18,0
1780076100,1.16462,1.16469,1.16395,1.16404,437,18,0
1780076400,1.16405,1.16473,1.16405,1.16467,545,18,0
1780076700,1.16468,1.16538,1.16459,1.16528,504,18,0
1780077000,1.16528,1.16665,1.16528,1.16655,1411,18,0
1780077300,1.16656,1.16737,1.16651,1.16677,1132,18,0
1780077600,1.16677,1.16722,1.16665,1.16695,869,18,0
1780077900,1.16694,1.16738,1.1667,1.16733,530,18,0
1780078200,1.1673,1.16771,1.1672,1.16755,536,18,0
1780078500,1.16757,1.16767,1.16734,1.16753,501,18,0
1780078800,1.16754,1.16811,1.16743,1.16782,443,18,0
1780079100,1.16781,1.16782,1.16731,1.16744,429,18,0
1780079400,1.16742,1.16849,1.16742,1.16807,538,18,0
1780079700,1.16808,1.16822,1.16772,1.16802,553,18,0
1780080000,1.16802,1.16817,1.16734,1.1675200000000001,744,18,0
1780080300,1.1675200000000001,1.16795,1.16749,1.16787,480,18,0
1780080600,1.16787,1.16794,1.16763,1.1678,317,18,0
1780080900,1.1678,1.16787,1.16766,1.16771,322,18,0
1780081200,1.1677,1.16783,1.16741,1.16741,368,18,0
1780081500,1.16741,1.16743,1.16705,1.16709,347,18,0
1780081800,1.16709,1.16711,1.16686,1.16687,249,18,0
1780082100,1.16687,1.1670099999999999,1.16669,1.16671,213,18,0
1780082400,1.16672,1.16694,1.1667,1.16686,159,18,0
1780082700,1.16687,1.167,1.16677,1.16687,185,18,0
1780083000,1.16687,1.16722,1.16658,1.1671,460,18,0
1780083300,1.16711,1.16738,1.16705,1.16718,273,18,0
1780083600,1.16718,1.16727,1.16698,1.167,181,18,0
1780083900,1.16699,1.16708,1.16681,1.1670099999999999,136,18,0
1780084200,1.167,1.16704,1.16683,1.16702,133,18,0
1780084500,1.16702,1.16714,1.16684,1.16711,177,18,0
1780084800,1.16711,1.16717,1.16702,1.1671,147,18,0
1780085100,1.16709,1.16724,1.1669,1.16692,117,18,0
1780085400,1.16692,1.16703,1.1668,1.16682,231,18,0
1780085700,1.16683,1.16696,1.16672,1.16673,146,18,0
1780086000,1.16673,1.1667399999999999,1.1665,1.16665,268,18,0
1780086300,1.16666,1.1667399999999999,1.16656,1.16669,161,18,0
1780086600,1.1667,1.16673,1.16656,1.16668,131,18,0
1780086900,1.16669,1.16672,1.16642,1.16643,139,18,0
1780087200,1.16644,1.16647,1.16622,1.16636,190,18,0
1780087500,1.16637,1.16646,1.16627,1.16642,177,18,0
1780087800,1.16643,1.16643,1.16618,1.16621,71,18,0
1780088100,1.16621,1.16638,1.1661299999999999,1.16614,257,18,0
1780088400,1.16611,1.16623,1.16607,1.16618,242,18,0
1780088700,1.16617,1.16622,1.1661,1.16622,116,18,0
1780089000,1.16621,1.16633,1.16618,1.16632,153,18,0
1780089300,1.16633,1.16643,1.16616,1.16641,211,18,0
