time,open,high,low,close,tick_volume,spread,real_volume
1777572000,4619.79,4625.43,4611.29,4615.26,21946,20,0
1777575600,4615.21,4617.69,4605.34,4607.44,17773,20,0
1777579200,4607.6,4621.61,4607.56,4616.76,17284,20,0
1777582800,4616.77,4625.13,4616.72,4622.36,14102,20,0
1777586400,4622.35,4627.33,4614.47,4616.91,16362,20,0
1777590000,4617.09,4621.86,4615.41,4621.71,8607,20,0
1777597200,4625.6,4636.13,4625.47,4630.31,8655,26,0
1777600800,4630.37,4634.0,4626.36,4626.47,9671,26,0
1777604400,4626.41,4630.98,4618.38,4619.58,15857,20,0
1777608000,4619.63,4622.24,4613.96,4620.96,11160,20,0
1777611600,4620.65,4635.95,4616.66,4619.19,10851,20,0
1777615200,4619.13,4631.96,4617.79,4626.64,9668,26,0
1777618800,4626.67,4628.77,4609.08,4609.11,10022,26,0
1777622400,4609.1,4616.11,4602.93,4604.85,10639,20,0
1777626000,4604.88,4607.81,4590.85,4594.63,14528,20,0
1777629600,4594.47,4598.0,4575.88,4578.18,12200,20,0
1777633200,4578.16,4582.53,4565.08,4568.79,10476,20,0
1777636800,4568.99,4572.83,4560.12,4562.66,10447,20,0
1777640400,4562.68,4575.94,4561.39,4566.82,9164,20,0
1777644000,4566.81,4579.62,4562.48,4578.61,13328,20,0
1777647600,4578.59,4607.48,4574.88,4591.07,16871,20,0
1777651200,4591.05,4628.79,4586.51,4625.61,19247,20,0
1777654800,4625.71,4660.24,4625.71,4632.13,25700,20,0
1777658400,4632.1,4648.05,4619.01,4643.23,17147,20,0
1777662000,4643.16,4650.08,4633.83,4638.79,16588,20,0
1777665600,4638.82,4642.65,4626.78,4629.45,13667,20,0
1777669200,4629.45,4630.65,4613.69,4624.25,16951,26,0
1777672800,4624.26,4627.65,4608.8,4610.67,15138,20,0
1777676400,4610.71,4616.6,4606.94,4613.67,8482,24,0
1777856400,4632.78,4636.47,4612.15,4618.83,10048,28,0
1777860000,4618.79,4620.8,4611.22,4613.83,11057,29,0
1777863600,4613.8,4616.56,4601.54,4612.92,17376,26,0
