time,open,high,low,close,tick_volume,spread,real_volume
1779992100,4471.41,4473.89,4470.74,4472.4,1451,24,0
1779992400,4472.43,4477.02,4469.2,4476.2,1620,26,0
1779992700,4476.33,4482.01,4475.34,4476.71,1801,24,0
1779993000,4476.73,4481.41,4476.73,4480.98,1675,24,0
1779993300,4481.02,4484.86,4478.26,4478.38,1695,26,0
1779993600,4478.41,4481.05,4477.19,4479.24,1453,24,0
1779993900,4479.22,4482.27,4478.84,4479.62,1284,24,0
1779994200,4479.68,4482.29,4479.41,4480.1,1333,24,0
1779994500,4480.12,4482.14,4478.63,4482.14,1195,24,0
1779994800,4482.13,4483.74,4477.68,4480.81,1479,26,0
1779995100,4480.85,4485.87,4480.81,4481.28,1406,24,0
1779995400,4481.31,4485.42,4481.31,4484.31,1297,27,0
1779995700,4484.4,4497.35,4483.98,4497.01,1977,28,0
1779996000,4496.99,4502.28,4494.74,4502.02,1942,24,0
1779996300,4502.0,4502.72,4498.79,4500.4,1678,24,0
1779996600,4500.52,4502.48,4497.67,4498.83,1420,24,0
1779996900,4498.73,4503.07,4497.62,4499.36,1406,26,0
1779997200,4499.35,4506.27,4499.07,4504.24,1540,26,0
1779997500,4504.3,4508.27,4504.3,4505.11,1647,27,0
1779997800,4505.07,4509.57,4505.07,4508.18,1465,24,0
1779998100,4508.08,4510.98,4507.85,4510.96,1135,26,0
1779998400,4511.05,4514.48,4509.45,4510.08,1620,25,0
1779998700,4510.09,4510.2,4505.96,4509.87,1202,27,0
1779999000,4509.84,4510.38,4503.54,4503.87,1288,28,0
1779999300,4503.9,4506.86,4503.39,4504.46,1189,26,0
1779999600,4504.48,4505.63,4502.44,4504.98,1389,26,0
1779999900,4505.01,4506.27,4501.2,4502.08,1656,24,0
1780000200,4502.49,4507.04,4502.46,4505.18,1255,26,0
1780000500,4505.17,4505.82,4503.93,4505.76,1087,26,0
1780000800,4505.77,4507.11,4504.38,4504.98,839,26,0
1780001100,4504.97,4509.11,4504.66,4508.43,1061,26,0
1780001400,4508.46,4508.55,4506.79,4507.58,886,26,0
1780001700,4507.61,4509.92,4507.47,4508.89,990,27,0
1780002000,4508.88,4516.49,4508.75,4513.08,1409,26,0
1780002300,4513.04,4513.75,4509.36,4509.72,1187,28,0
1780002600,4509.68,4509.68,4506.22,4507.64,1219,28,0
1780002900,4507.65,4512.52,4505.62,4509.56,1335,24,0
1780003200,4509.65,4511.05,4507.59,4508.19,1251,29,0
1780003500,4508.14,4508.23,4505.39,4506.14,1249,28,0
1780003800,4506.21,4506.39,4501.5,4502.05,1093,28,0
1780004100,4501.99,4503.55,4500.81,4501.86,1065,29,0
1780004400,4501.89,4502.79,4500.97,4501.71,857,28,0
1780004700,4501.66,4502.39,4498.51,4499.24,830,28,0
1780005000,4499.22,4503.55,4498.79,4502.94,913,29,0
1780005300,4502.9,4503.34,4500.57,4501.01,922,26,0
1780005600,4501.24,4503.71,4500.05,4501.71,989,29,0
1780005900,4501.77,4502.29,4498.89,4498.99,769,27,0
1780006200,4499.04,4501.79,4498.63,4499.52,1040,29,0
1780006500,4499.54,4501.57,4499.54,4500.97,772,29,0
1780006800,4500.96,4502.92,4500.4,4502.4,690,24,0
1780007100,4502.48,4502.48,4499.67,4499.71,705,28,0
1780007400,4499.69,4501.8,4499.69,4500.94,797,27,0
1780007700,4500.97,4501.59,4499.3,4500.76,700,27,0
1780008000,4500.74,4501.04,4498.94,4499.21,740,28,0
1780008300,4499.16,4500.31,4498.21,4498.58,737,28,0
1780008600,4498.58,4499.93,4497.66,4498.95,905,24,0
1780008900,4498.79,4499.45,4497.11,4497.78,1167,24,0
1780009200,4497.67,4498.29,4495.53,4495.8,788,26,0
1780009500,4495.83,4497.38,4494.93,4496.08,440,28,0
1780009800,4496.01,4498.57,4495.93,4497.11,455,27,0
1780010100,4497.19,4500.55,4496.31,4497.46,624,29,0
1780010400,4497.5,4498.83,4497.39,4497.72,312,26,0
1780010700,4497.69,4499.51,4497.03,4499.28,323,28,0
1780011000,4499.26,4500.75,4498.27,4500.27,406,29,0
1780011300,4500.25,4500.25,4496.36,4496.36,461,29,0
1780011600,4496.37,4496.83,4494.94,4495.52,415,29,0
1780011900,4495.59,4496.45,4494.96,4495.98,431,29,0
1780012200,4495.94,4496.14,4494.85,4495.86,358,26,0
1780012500,4495.87,4496.59,4495.47,4495.68,313,27,0
1780016400,4495.94,4499.63,4495.15,4497.24,385,33,0
1780016700,4497.25,4498.16,4491.85,4493.68,491,34,0
1780017000,4493.78,4495.23,4492.53,4493.67,467,31,0
1780017300,4493.61,4494.88,4493.23,4493.63,162,34,0
1780017600,4493.62,4494.91,4493.07,4493.82,307,34,0
1780017900,4493.86,4496.48,4492.74,4495.8,653,29,0
1780018200,4495.78,4496.48,4493.7,4493.98,563,30,0
1780018500,4493.97,4495.07,4493.03,4494.28,586,30,0
1780018800,4494.24,4496.49,4493.34,4495.62,683,29,0
1780019100,4495.55,4496.16,4494.45,4494.54,547,30,0
1780019400,4494.55,4494.87,4492.53,4493.76,649,28,0
1780019700,4493.73,4494.18,4490.98,4491.11,599,30,0
1780020000,4491.16,4495.27,4491.13,4495.27,807,30,0
