time,open,high,low,close,tick_volume,spread,real_volume
1780292880,73725.1,73764.5,73725.1,73762.1,25,2250,0
1780292940,73758.7,73807.6,73751.4,73788.3,47,2250,0
1780293000,73787.0,73837.1,73777.1,73814.1,38,2250,0
1780293060,73814.1,73814.1,73760.3,73760.3,22,2250,0
1780293120,73754.0,73801.5,73754.0,73801.5,27,2250,0
1780293180,73807.7,73820.5,73796.0,73803.5,16,2250,0
1780293240,73794.7,73812.7,73775.0,73775.0,33,2250,0
1780293300,73773.7,73773.7,73738.1,73763.7,39,2250,0
1780293360,73767.3,73799.1,73767.3,73788.7,25,2250,0
1780293420,73790.7,73796.9,73769.7,73774.8,16,2250,0
1780293480,73782.2,73783.7,73769.1,73776.4,14,2250,0
1780293540,73778.9,73800.5,73774.3,73776.5,30,2250,0
1780293600,73782.3,73834.4,73782.3,73822.2,36,2250,0
1780293660,73824.3,73849.7,73815.8,73818.8,27,2250,0
1780293720,73824.0,73831.0,73815.6,73815.6,17,2250,0
1780293780,73817.15,73904.4,73817.15,73904.4,17,2250,0
1780293840,73906.75,74001.0,73906.75,73952.6,102,2250,0
1780293900,73955.4,73962.6,73899.4,73904.9,44,2250,0
1780293960,73904.9,73915.6,73896.6,73904.2,25,2250,0
1780294020,73905.7,73954.0,73905.7,73954.0,27,2250,0
1780294080,73954.1,73976.5,73941.1,73941.1,32,2250,0
1780294140,73943.3,73972.9,73943.3,73961.3,27,2250,0
1780294200,73961.3,73961.3,73910.6,73910.6,28,2250,0
1780294260,73913.3,73931.0,73903.1,73930.8,25,2250,0
1780294320,73927.7,73927.7,73894.2,73894.2,20,2250,0
1780294380,73894.2,73894.2,73873.5,73882.2,17,2250,0
1780294440,73878.9,73878.9,73863.1,73870.0,11,2250,0
1780294500,73870.6,73904.0,73870.6,73904.0,18,2250,0
1780294560,73905.3,73908.4,73849.6,73871.2,29,2250,0
1780294620,73871.7,73899.8,73871.7,73879.7,20,2250,0
1780294680,73879.7,73881.1,73784.7,73829.6,59,2250,0
1780294740,73829.6,73942.7,73829.6,73911.9,54,2250,0
1780294800,73911.9,73927.6,73900.8,73922.2,26,2250,0
1780294860,73922.2,73922.2,73899.1,73899.1,14,2250,0
1780294920,73899.1,73959.9,73890.4,73959.9,25,2250,0
1780294980,73961.85,73967.6,73925.2,73925.2,16,2250,0
1780295040,73924.6,73940.0,73920.6,73940.0,6,2250,0
1780295100,73936.9,73936.9,73880.8,73880.8,14,2250,0
1780295160,73879.0,73909.6,73870.0,73909.6,22,2250,0
1780295220,73912.6,73920.6,73908.9,73909.4,9,2250,0
1780295280,73910.0,73913.2,73898.4,73901.9,12,2250,0
1780295340,73903.4,73916.7,73903.4,73905.9,10,2250,0
1780295400,73910.1,73963.4,73910.1,73960.4,23,2250,0
1780295460,73960.4,73971.7,73941.3,73945.2,23,2250,0
1780295520,73948.2,73965.1,73948.2,73957.7,11,2250,0
1780295580,73957.7,73959.8,73939.9,73939.9,23,2250,0
1780295640,73939.9,73939.9,73911.4,73933.9,19,2250,0
1780295700,73933.9,73942.3,73917.4,73917.4,17,2250,0
1780295760,73917.4,73944.0,73917.4,73943.9,11,2250,0
