time,open,high,low,close,tick_volume,spread,real_volume
1780292820,1.1644,1.16443,1.16439,1.16439,8,18,0
1780292880,1.16439,1.1644,1.16435,1.16435,7,18,0
1780292940,1.16435,1.16443,1.16435,1.16443,12,18,0
1780293000,1.16443,1.16443,1.1644,1.16442,6,18,0
1780293060,1.16443,1.16444,1.1644,1.16441,15,18,0
1780293120,1.1644,1.1644,1.16439,1.1644,5,18,0
1780293180,1.16441,1.16445,1.16441,1.16445,8,18,0
1780293240,1.16446,1.16448,1.16446,1.1644700000000001,16,18,0
1780293300,1.1644700000000001,1.1644700000000001,1.16444,1.16445,7,18,0
1780293360,1.16445,1.1645,1.16445,1.1645,9,18,0
1780293420,1.16451,1.16455,1.1645,1.16455,10,18,0
1780293480,1.16454,1.1646,1.16453,1.16459,15,18,0
1780293540,1.16459,1.1646,1.16454,1.16455,22,18,0
1780293600,1.16456,1.16459,1.16454,1.16459,28,18,0
1780293660,1.16458,1.16468,1.16455,1.16468,15,18,0
1780293720,1.16469,1.16475,1.16469,1.16473,24,18,0
1780293780,1.16473,1.1648,1.1647,1.16478,18,18,0
1780293840,1.16478,1.1648100000000001,1.16472,1.16473,22,18,0
1780293900,1.16472,1.16472,1.16463,1.16464,25,18,0
1780293960,1.16463,1.16468,1.16463,1.16468,24,18,0
1780294020,1.16469,1.16474,1.16463,1.16473,30,18,0
1780294080,1.16474,1.16479,1.16473,1.16476,16,18,0
1780294140,1.16477,1.16477,1.16465,1.16466,16,18,0
1780294200,1.16466,1.16466,1.16461,1.16464,19,18,0
1780294260,1.16462,1.16462,1.16458,1.16459,14,19,0
1780294320,1.16459,1.1646,1.1645699999999999,1.1645699999999999,5,18,0
1780294380,1.1645699999999999,1.1646,1.16454,1.16455,8,18,0
1780294440,1.16455,1.1645699999999999,1.16448,1.16448,17,18,0
1780294500,1.16448,1.16454,1.16442,1.16451,22,18,0
1780294560,1.16452,1.16453,1.1645,1.16452,13,18,0
1780294620,1.16452,1.16453,1.16449,1.16451,9,18,0
1780294680,1.1645,1.16451,1.16427,1.16435,67,18,0
1780294740,1.16436,1.16438,1.16425,1.16427,50,18,0
1780294800,1.16428,1.16436,1.16425,1.16435,38,18,0
1780294860,1.16434,1.16438,1.16426,1.16433,41,18,0
1780294920,1.16434,1.16438,1.16431,1.16436,28,18,0
1780294980,1.16437,1.16438,1.16435,1.16437,12,18,0
1780295040,1.16437,1.16442,1.16435,1.16441,14,18,0
1780295100,1.16442,1.16449,1.16441,1.1644700000000001,35,18,0
1780295160,1.1644700000000001,1.16453,1.1644700000000001,1.16452,14,19,0
1780295220,1.16453,1.16461,1.16453,1.16461,16,18,0
1780295280,1.16461,1.16472,1.16461,1.16467,23,18,0
1780295340,1.16467,1.16469,1.16465,1.16467,16,18,0
1780295400,1.16467,1.16472,1.16466,1.1647,24,18,0
1780295460,1.16471,1.16477,1.16463,1.16464,35,18,0
1780295520,1.16465,1.16475,1.16459,1.16459,26,18,0
1780295580,1.16459,1.16462,1.1645699999999999,1.16459,29,18,0
1780295640,1.16458,1.16458,1.16453,1.16453,12,18,0
1780295700,1.16451,1.16451,1.16438,1.16438,27,18,0
1780295760,1.16439,1.16439,1.16436,1.16437,13,18,0
1780295820,1.16436,1.16438,1.16433,1.16435,14,18,0
1780295880,1.16436,1.16437,1.16428,1.16428,28,18,0
1780295940,1.16428,1.16431,1.16425,1.1643,17,18,0
1780296000,1.16431,1.16431,1.16427,1.16429,13,19,0
1780296060,1.16429,1.16429,1.16418,1.16418,13,18,0
1780296120,1.16419,1.16419,1.16411,1.16413,19,18,0
1780296180,1.16413,1.16413,1.16408,1.16408,12,18,0
1780296240,1.16408,1.1641,1.16407,1.16408,15,18,0
1780296300,1.16408,1.16419,1.16408,1.16417,20,18,0
1780296360,1.16418,1.16428,1.16417,1.16427,18,18,0
1780296420,1.16427,1.16428,1.16424,1.16427,11,18,0
1780296480,1.16427,1.1643,1.16427,1.1643,8,19,0
1780296540,1.16429,1.16431,1.16427,1.16428,12,19,0
1780296600,1.16428,1.16429,1.16427,1.16428,7,19,0
1780296660,1.16429,1.16429,1.16427,1.16428,6,19,0
1780296720,1.16429,1.16429,1.16427,1.16428,4,18,0
1780296780,1.16428,1.16429,1.1642299999999999,1.16425,12,18,0
1780296840,1.16424,1.16428,1.16424,1.16428,8,19,0
1780296900,1.16427,1.16433,1.16427,1.16429,27,19,0
1780296960,1.16429,1.1643,1.16426,1.16427,12,18,0
1780297020,1.16427,1.1643,1.16426,1.16429,20,18,0
1780297080,1.16428,1.16431,1.16426,1.16431,12,18,0
1780297140,1.16432,1.16432,1.16426,1.16428,21,18,0
1780297200,1.16428,1.16432,1.16424,1.16432,19,18,0
1780297260,1.16433,1.16439,1.16433,1.16436,13,19,0
1780297320,1.16436,1.16438,1.16432,1.16434,22,18,0
1780297380,1.16434,1.16438,1.16433,1.16436,16,18,0
1780297440,1.16437,1.16439,1.16437,1.16439,11,18,0
1780297500,1.16439,1.16439,1.16438,1.16438,2,19,0
1780297560,1.16439,1.16444,1.16439,1.16443,10,19,0
1780297620,1.16443,1.16443,1.16441,1.16442,8,19,0
1780297680,1.16442,1.16448,1.16442,1.16448,8,19,0
1780297740,1.16448,1.16448,1.16437,1.16437,20,18,0
1780297800,1.16438,1.1644,1.16437,1.16437,14,18,0
1780297860,1.16437,1.16442,1.16436,1.16442,7,18,0
1780297920,1.16441,1.16445,1.16441,1.16444,18,18,0
1780297980,1.16445,1.16445,1.16443,1.16444,7,18,0
1780298040,1.16444,1.1644700000000001,1.16444,1.16444,17,18,0
1780298100,1.16445,1.16448,1.16444,1.1644700000000001,13,18,0
1780298160,1.1644700000000001,1.1644700000000001,1.1644700000000001,1.1644700000000001,1,20,0
1780298220,1.1644700000000001,1.16453,1.1644700000000001,1.16452,11,18,0
1780298280,1.16452,1.16458,1.16452,1.16458,14,18,0
1780298340,1.1645699999999999,1.16462,1.16456,1.16459,14,18,0
1780298400,1.16459,1.16462,1.16458,1.16459,11,18,0
1780298460,1.1646,1.1646,1.16459,1.16459,2,18,0
1780298520,1.16459,1.16459,1.16459,1.16459,1,19,0
1780298580,1.16459,1.1646,1.16458,1.16459,7,18,0
1780298640,1.16458,1.16463,1.1645699999999999,1.16463,9,18,0
1780298700,1.16462,1.16462,1.16458,1.16458,11,18,0
1780298760,1.16458,1.16462,1.16458,1.16459,8,18,0
1780298820,1.16459,1.16459,1.16458,1.16458,4,18,0
1780298880,1.16458,1.16463,1.16455,1.16462,14,18,0
1780298940,1.16462,1.16464,1.16462,1.16464,8,19,0
