time,open,high,low,close,tick_volume,spread,real_volume
1780292880,4523.22,4523.87,4522.11,4522.14,241,30,0
1780292940,4521.94,4523.71,4521.88,4523.33,153,28,0
1780293000,4523.32,4523.83,4522.29,4523.49,265,29,0
1780293060,4523.57,4523.63,4522.22,4522.39,238,30,0
1780293120,4522.35,4523.41,4522.23,4523.41,166,30,0
1780293180,4523.42,4523.97,4522.95,4523.68,161,30,0
1780293240,4523.64,4523.71,4522.12,4522.23,263,30,0
1780293300,4522.2,4522.45,4521.17,4521.72,193,29,0
1780293360,4521.9,4522.78,4521.56,4522.01,131,29,0
1780293420,4522.05,4523.12,4522.03,4522.17,139,30,0
1780293480,4522.13,4523.06,4521.32,4523.06,171,30,0
1780293540,4523.01,4523.49,4521.14,4521.43,187,30,0
1780293600,4521.4,4523.73,4521.4,4522.6,170,24,0
1780293660,4522.64,4523.17,4521.34,4521.62,128,30,0
1780293720,4521.62,4524.26,4521.62,4523.48,115,30,0
1780293780,4523.42,4525.36,4523.22,4525.01,143,30,0
1780293840,4524.96,4525.01,4524.21,4524.62,105,30,0
1780293900,4524.57,4524.74,4520.68,4521.16,159,24,0
1780293960,4521.13,4521.13,4517.69,4519.58,321,29,0
1780294020,4519.52,4520.43,4518.93,4520.18,152,30,0
1780294080,4520.19,4520.56,4518.77,4518.92,162,29,0
1780294140,4518.95,4519.62,4517.35,4517.5,186,28,0
1780294200,4517.44,4518.01,4515.86,4516.4,225,29,0
1780294260,4516.42,4517.68,4515.58,4517.62,193,30,0
1780294320,4517.64,4518.22,4516.52,4517.93,205,30,0
1780294380,4517.92,4520.39,4517.62,4519.68,228,29,0
1780294440,4519.7,4519.85,4518.48,4518.81,145,30,0
1780294500,4518.84,4519.52,4517.9,4519.52,134,29,0
1780294560,4519.58,4519.58,4518.2,4518.25,91,30,0
1780294620,4518.21,4518.79,4516.84,4517.71,156,30,0
1780294680,4517.72,4519.13,4513.92,4518.63,347,24,0
1780294740,4518.49,4519.92,4518.38,4519.28,345,30,0
1780294800,4519.3,4519.94,4518.71,4519.35,168,30,0
1780294860,4519.2,4519.4,4517.49,4519.04,227,24,0
1780294920,4519.06,4519.98,4517.66,4519.66,195,30,0
1780294980,4519.69,4520.04,4518.8,4518.89,150,29,0
1780295040,4518.93,4519.41,4518.12,4518.42,133,24,0
1780295100,4518.45,4518.85,4518.31,4518.4,160,30,0
1780295160,4518.37,4519.36,4517.99,4519.35,143,30,0
1780295220,4519.39,4520.26,4519.39,4520.23,188,30,0
1780295280,4520.28,4520.54,4519.58,4519.71,155,30,0
1780295340,4519.74,4521.34,4519.74,4520.42,176,30,0
1780295400,4520.28,4522.79,4519.91,4522.76,208,30,0
1780295460,4522.74,4523.4,4522.14,4522.66,255,30,0
1780295520,4522.7,4524.0,4522.7,4523.39,185,29,0
1780295580,4523.2,4523.51,4522.45,4522.65,115,30,0
1780295640,4522.63,4522.63,4521.38,4521.39,102,30,0
1780295700,4521.7,4521.7,4520.49,4520.69,110,30,0
1780295760,4520.74,4520.95,4519.97,4520.86,106,30,0
1780295820,4520.85,4521.4,4519.33,4519.65,64,30,0
1780295880,4519.69,4519.87,4517.05,4517.05,121,28,0
1780295940,4517.02,4517.05,4514.41,4515.6,171,28,0
1780296000,4515.4,4515.4,4514.34,4515.11,101,30,0
1780296060,4515.19,4515.65,4513.92,4514.29,125,30,0
1780296120,4514.32,4514.32,4511.38,4512.92,238,26,0
1780296180,4512.96,4513.76,4511.15,4511.15,199,30,0
1780296240,4511.14,4511.5,4509.83,4510.63,182,28,0
1780296300,4510.64,4511.7,4509.97,4509.99,201,29,0
1780296360,4509.92,4511.23,4509.83,4511.0,146,30,0
1780296420,4511.03,4512.0,4510.83,4511.42,127,29,0
1780296480,4511.44,4512.87,4511.44,4512.4,86,29,0
1780296540,4512.43,4513.23,4512.09,4512.49,95,30,0
1780296600,4512.45,4513.02,4511.81,4512.72,84,30,0
1780296660,4512.7,4512.7,4511.63,4512.44,74,30,0
1780296720,4512.51,4512.95,4511.62,4512.8,102,30,0
1780296780,4512.85,4513.87,4512.58,4513.22,99,29,0
1780296840,4513.18,4513.45,4512.58,4513.09,97,30,0
1780296900,4513.04,4514.25,4512.98,4513.55,92,30,0
1780296960,4513.54,4513.68,4512.49,4512.71,91,30,0
1780297020,4512.7,4514.04,4512.36,4513.75,125,29,0
1780297080,4513.71,4515.44,4513.56,4515.43,112,30,0
1780297140,4515.42,4516.23,4515.16,4516.22,116,30,0
1780297200,4516.23,4517.59,4515.61,4517.08,148,30,0
1780297260,4516.98,4518.96,4516.91,4518.76,142,28,0
1780297320,4518.75,4519.59,4518.74,4519.03,114,29,0
1780297380,4518.91,4519.45,4518.19,4518.24,153,29,0
1780297440,4518.26,4518.26,4516.34,4516.4,124,29,0
1780297500,4516.19,4517.18,4514.97,4515.05,171,30,0
1780297560,4515.02,4515.98,4514.63,4515.98,139,30,0
1780297620,4515.97,4516.75,4514.76,4515.33,107,29,0
1780297680,4515.28,4515.28,4514.25,4514.93,84,30,0
1780297740,4514.97,4515.01,4513.83,4514.04,68,30,0
1780297800,4514.08,4514.56,4513.01,4513.08,100,30,0
1780297860,4513.11,4513.16,4512.38,4512.58,64,30,0
1780297920,4512.52,4513.53,4512.45,4512.66,94,30,0
1780297980,4512.69,4514.9,4512.69,4514.69,97,28,0
1780298040,4514.73,4514.93,4514.51,4514.55,43,30,0
1780298100,4514.62,4515.98,4514.62,4515.62,73,30,0
1780298160,4515.64,4515.95,4515.5,4515.89,54,29,0
1780298220,4515.9,4518.21,4515.57,4518.17,115,29,0
1780298280,4518.08,4518.43,4517.98,4518.09,72,30,0
1780298340,4518.09,4518.11,4516.47,4516.85,90,29,0
1780298400,4516.87,4517.11,4516.09,4516.11,51,30,0
1780298460,4516.16,4516.86,4515.98,4516.81,71,30,0
1780298520,4516.84,4517.38,4516.8,4517.11,92,30,0
1780298580,4517.15,4517.68,4516.88,4517.21,77,30,0
1780298640,4517.12,4517.53,4516.95,4517.51,64,30,0
1780298700,4517.54,4517.54,4516.56,4516.77,83,30,0
1780298760,4516.78,4517.28,4516.09,4516.1,118,30,0
1780298820,4516.11,4516.11,4515.6,4515.71,143,30,0
1780298880,4515.7,4516.66,4515.28,4515.29,145,30,0
1780298940,4515.31,4516.28,4515.3,4515.81,89,29,0
1780299000,4515.8,4516.51,4515.71,4515.76,86,30,0
1780299060,4515.71,4515.82,4514.89,4515.32,91,30,0
1780299120,4515.27,4515.8,4514.53,4515.7,78,30,0
1780299180,4515.74,4515.95,4515.21,4515.31,75,30,0
1780299240,4515.29,4515.41,4514.12,4514.27,78,29,0
1780299300,4514.36,4515.55,4514.02,4515.27,106,30,0
1780299360,4515.29,4515.39,4514.69,4514.9,123,30,0
1780299420,4514.88,4514.89,4514.06,4514.42,112,29,0
1780299480,4514.4,4514.77,4513.6,4513.67,98,30,0
1780299540,4513.66,4515.25,4513.54,4515.07,101,29,0
1780299600,4515.06,4515.68,4514.84,4515.48,108,26,0
1780299660,4515.6,4516.71,4515.6,4516.47,110,30,0
1780299720,4516.12,4516.52,4515.79,4515.96,93,30,0
1780299780,4515.95,4517.22,4515.6,4515.78,213,30,0
1780299840,4515.79,4516.13,4514.3,4514.5,128,30,0
1780299900,4514.57,4514.6,4513.47,4513.5,65,30,0
1780299960,4513.68,4514.38,4512.88,4513.02,129,30,0
1780300020,4512.99,4513.17,4512.29,4512.41,88,30,0
1780300080,4512.46,4512.57,4510.81,4510.81,118,30,0
1780300140,4510.83,4511.09,4508.65,4510.4,140,30,0
1780300200,4510.33,4511.7,4510.2,4510.78,159,28,0
1780300260,4510.78,4511.25,4509.61,4510.85,109,29,0
1780300320,4510.84,4511.85,4510.65,4511.48,156,29,0
1780300380,4511.43,4512.98,4511.04,4512.98,122,30,0
1780300440,4513.0,4514.33,4513.0,4514.04,147,30,0
1780300500,4514.0,4514.93,4513.47,4514.93,133,30,0
1780300560,4514.94,4514.96,4513.39,4513.56,121,30,0
1780300620,4513.53,4513.85,4512.65,4512.89,103,29,0
1780300680,4512.88,4514.83,4512.52,4514.17,113,30,0
1780300740,4514.18,4514.47,4513.58,4514.37,79,30,0
1780300800,4514.4,4514.96,4513.93,4514.24,142,30,0
1780300860,4514.32,4514.95,4513.52,4513.86,138,29,0
1780300920,4513.87,4515.71,4513.71,4515.71,178,30,0
1780300980,4515.7,4516.01,4515.36,4515.48,110,29,0
1780301040,4515.46,4516.17,4515.46,4516.0,56,29,0
1780301100,4515.97,4517.59,4515.63,4517.15,143,29,0
1780301160,4517.19,4517.21,4516.52,4516.53,107,29,0
1780301220,4516.49,4517.48,4516.12,4516.98,106,26,0
1780301280,4516.9,4517.59,4516.7,4517.59,71,29,0
1780301340,4517.37,4517.38,4515.92,4516.33,83,30,0
1780301400,4516.32,4516.84,4515.22,4516.46,102,29,0
1780301460,4516.44,4518.13,4516.33,4518.13,95,30,0
1780301520,4518.15,4519.14,4517.74,4518.97,157,30,0
1780301580,4518.96,4518.96,4517.17,4517.95,177,30,0
1780301640,4517.91,4518.37,4517.86,4518.08,74,30,0
