BAD_HOUR_BLOCK,BIG_SETUP_GRADE_INCONSISTENT,DEMO_REQUIRES_M1_CONFIRMATION,EMA_ENTRY_NOT_ALLOWED,GENERIC_WAIT_REASON,LEGACY_ENTRY_NOT_ALLOWED,LOT_VALID_FALSE_BUT_APPROVED,M1_NOT_REQUESTED_FOR_AUDIT,M1_REQUIRED_BUT_EMPTY,MARKET_CLOSED,MISSING_REQUIRED_TIMEFRAME,RR_MISSING,RR_MISSING_BEFORE_BIG_SETUP,SCORE_COMPONENTS_MISSING,SESSION_UNKNOWN,SIGNAL_WITH_MISSING_CONTEXT,SIGNAL_WITH_MTFA_FAIL,SIGNAL_WITH_NO_M15_CONFIRMATION,SIGNAL_WITH_NO_M1_CONFIRMATION,SIGNAL_WITH_RR_MISSING,SIGNAL_WITH_SMC_FAIL,TIMEZONE_UNKNOWN,TIME_GATE_MISSING,WEEKEND_BLOCK,big_setup_grade,blocked_reason,blocked_reasons,broker_hour,broker_time_estimate,broker_utc_offset_hours,casablanca_time,confidence,demo_eligible_candidate,direction,eligible_before_safety,evaluated,is_bad_hour,is_news_blackout,is_weekend,local_hour,lot_valid,m15_confirmation,m1_confirmation,math_status,missing_timeframe_context,mtfa_status,precise_reason,reason,required_timeframes,rows_H1,rows_H4,rows_M1,rows_M15,rows_M5,rr_present,score,score_components,session,session_name,signal,smc_confluence_status,smc_status,spread_status,strategy,symbol,symbol_market_open,time_gate_reason,time_gate_status,timestamp,utc_hour,utc_time,weekday
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C,,,14,2026-06-01T14:55:00+00:00,0.0,2026-06-01T12:55:18.400467+01:00,0.42,False,WAIT,False,True,False,unknown,False,12,True,False,False,INVALID_OR_WAIT,,NOT_APPLICABLE,NO_BREAKOUT_LEVEL,NO_BREAKOUT_LEVEL,"M5,M15,M1_CONFIRMATION",500,500,500,500,500,True,43.0,"{""breakout_close_beyond_level"": false, ""m15_confirmation_required"": true, ""m1_confirmation_required"": true, ""math_status"": ""INVALID_OR_WAIT"", ""not_mid_range_random_movement"": false, ""rejection_candle"": true, ""retest_of_broken_level"": false, ""rr_meets_min"": true, ""score_components_present"": true, ""structure_high_selected"": true, ""structure_low_selected"": true}",OFF_HOURS,OFF_HOURS,WAIT,NOT_APPLICABLE,NOT_APPLICABLE,OK,BREAKOUT_RETEST,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T11:55:19.129868+00:00,11,2026-06-01T11:55:18.400467+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C,,,14,2026-06-01T14:55:00+00:00,0.0,2026-06-01T12:55:18.400467+01:00,0.65,False,WAIT,False,True,False,unknown,False,12,True,False,False,INVALID_OR_WAIT,,NOT_APPLICABLE,NO_SWEEP,NO_SWEEP,"M5,H4_OR_D1,M15,M1_CONFIRMATION",500,500,500,500,500,True,40.0,"{""cisd_or_mss_confirmation"": true, ""crt_high_selected"": true, ""crt_low_selected"": true, ""crt_mid_selected"": true, ""invalid_no_confirmation"": false, ""invalid_no_sweep"": true, ""liquidity_sweep"": false, ""math_status"": ""INVALID_OR_WAIT"", ""premium_discount_zone"": ""DISCOUNT"", ""return_inside_range"": true, ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,NOT_APPLICABLE,NOT_APPLICABLE,OK,CRT_TBS_REVERSAL,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T11:55:19.845813+00:00,11,2026-06-01T11:55:18.400467+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C,,,14,2026-06-01T14:55:00+00:00,0.0,2026-06-01T12:55:18.400467+01:00,0.675,False,WAIT,False,True,False,unknown,False,12,True,False,False,INVALID_OR_WAIT,,NOT_APPLICABLE,NO_SWEEP,NO_SWEEP,"M5,M15,H1,M1_CONFIRMATION",500,500,500,500,500,True,45.0,"{""accumulation_or_range"": false, ""displacement"": false, ""fvg"": true, ""ifvg_if_applicable"": true, ""invalid_only_fvg"": true, ""manipulation_sweep"": false, ""math_status"": ""INVALID_OR_WAIT"", ""ob_bpr_context"": true, ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,NOT_APPLICABLE,NOT_APPLICABLE,OK,AMD_FVG_IFVG_REVERSAL,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T11:55:20.507714+00:00,11,2026-06-01T11:55:18.400467+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C,,,14,2026-06-01T14:55:00+00:00,0.0,2026-06-01T12:55:18.400467+01:00,0.65,False,WAIT,False,True,False,unknown,False,12,True,False,False,INVALID_OR_WAIT,,NOT_APPLICABLE,NO_OTE_ZONE,NO_OTE_ZONE,"M5,H4,M15,M1_CONFIRMATION",500,500,500,500,500,True,40.0,"{""cisd_mss_confirmation"": true, ""fib_618"": 73197.966, ""fib_705"": null, ""fib_786"": 72926.982, ""impulse_direction"": ""BUY"", ""invalid_only_ote_touch"": false, ""key_level_ob_fvg_bpr_context"": true, ""math_status"": ""INVALID_OR_WAIT"", ""price_inside_ote"": false, ""score_components_present"": true, ""swing_high_low_selected"": true}",OFF_HOURS,OFF_HOURS,WAIT,NOT_APPLICABLE,NOT_APPLICABLE,OK,FIB_OTE_RETEST,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T11:55:21.224316+00:00,11,2026-06-01T11:55:18.400467+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C,,,14,2026-06-01T14:55:00+00:00,0.0,2026-06-01T12:55:18.400467+01:00,0.74,False,WAIT,False,True,False,unknown,False,12,True,False,False,CONFIRMATION_ONLY,,NOT_APPLICABLE,EMA_CONFIRMATION_ONLY,EMA_CONFIRMATION_ONLY,M5,500,500,500,500,500,True,33.0,"{""math_status"": ""CONFIRMATION_ONLY"", ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,NOT_APPLICABLE,NOT_APPLICABLE,OK,EMA_PULLBACK,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T11:55:21.939918+00:00,11,2026-06-01T11:55:18.400467+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C,,,14,2026-06-01T14:55:00+00:00,0.0,2026-06-01T12:55:18.400467+01:00,0.4,False,WAIT,False,True,False,unknown,False,12,True,False,False,OBSERVER_ONLY,,NOT_APPLICABLE,SECOND_ENTRY_OBSERVER_ONLY,SECOND_ENTRY_OBSERVER_ONLY,M5,500,500,500,500,500,True,43.0,"{""math_status"": ""OBSERVER_ONLY"", ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,NOT_APPLICABLE,NOT_APPLICABLE,OK,SECOND_ENTRY,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T11:55:22.601463+00:00,11,2026-06-01T11:55:18.400467+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C,,,14,2026-06-01T14:55:00+00:00,0.0,2026-06-01T12:55:18.400467+01:00,0.35,False,WAIT,False,True,False,unknown,False,12,True,False,False,OBSERVER_ONLY,,NOT_APPLICABLE,SCALPING_AGENT_OBSERVER_ONLY,SCALPING_AGENT_OBSERVER_ONLY,M5,500,500,500,500,500,True,43.0,"{""math_status"": ""OBSERVER_ONLY"", ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,NOT_APPLICABLE,NOT_APPLICABLE,OK,SCALPING_AGENT,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T11:55:23.291956+00:00,11,2026-06-01T11:55:18.400467+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C,,,14,2026-06-01T14:55:00+00:00,0.0,2026-06-01T12:55:23.306033+01:00,0.42,False,WAIT,False,True,False,unknown,False,12,True,False,False,INVALID_OR_WAIT,,NOT_APPLICABLE,NO_BREAKOUT_LEVEL,NO_BREAKOUT_LEVEL,"M5,M15,M1_CONFIRMATION",500,500,500,500,500,True,30.0,"{""breakout_close_beyond_level"": false, ""m15_confirmation_required"": true, ""m1_confirmation_required"": true, ""math_status"": ""INVALID_OR_WAIT"", ""not_mid_range_random_movement"": false, ""rejection_candle"": true, ""retest_of_broken_level"": false, ""rr_meets_min"": true, ""score_components_present"": true, ""structure_high_selected"": true, ""structure_low_selected"": true}",OFF_HOURS,OFF_HOURS,WAIT,NOT_APPLICABLE,NOT_APPLICABLE,OK,BREAKOUT_RETEST,GOLD#,True,TIME_GATE_PASS,PASS,2026-06-01T11:55:24.000867+00:00,11,2026-06-01T11:55:23.306033+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C,,,14,2026-06-01T14:55:00+00:00,0.0,2026-06-01T12:55:23.306033+01:00,0.65,False,WAIT,False,True,False,unknown,False,12,True,False,False,INVALID_OR_WAIT,,NOT_APPLICABLE,NO_SWEEP,NO_SWEEP,"M5,H4_OR_D1,M15,M1_CONFIRMATION",500,500,500,500,500,True,40.0,"{""cisd_or_mss_confirmation"": true, ""crt_high_selected"": true, ""crt_low_selected"": true, ""crt_mid_selected"": true, ""invalid_no_confirmation"": false, ""invalid_no_sweep"": true, ""liquidity_sweep"": false, ""math_status"": ""INVALID_OR_WAIT"", ""premium_discount_zone"": ""DISCOUNT"", ""return_inside_range"": true, ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,NOT_APPLICABLE,NOT_APPLICABLE,OK,CRT_TBS_REVERSAL,GOLD#,True,TIME_GATE_PASS,PASS,2026-06-01T11:55:24.701760+00:00,11,2026-06-01T11:55:23.306033+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C,,,14,2026-06-01T14:55:00+00:00,0.0,2026-06-01T12:55:23.306033+01:00,0.575,False,WAIT,False,True,False,unknown,False,12,True,False,False,INVALID_OR_WAIT,,NOT_APPLICABLE,NO_SWEEP,NO_SWEEP,"M5,M15,H1,M1_CONFIRMATION",500,500,500,500,500,True,25.0,"{""accumulation_or_range"": false, ""displacement"": false, ""fvg"": true, ""ifvg_if_applicable"": true, ""invalid_only_fvg"": true, ""manipulation_sweep"": false, ""math_status"": ""INVALID_OR_WAIT"", ""ob_bpr_context"": true, ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,NOT_APPLICABLE,NOT_APPLICABLE,OK,AMD_FVG_IFVG_REVERSAL,GOLD#,True,TIME_GATE_PASS,PASS,2026-06-01T11:55:25.425429+00:00,11,2026-06-01T11:55:23.306033+00:00,MONDAY
