time,open,high,low,close,tick_volume,spread,real_volume
1770091200,4841.03,4841.81,4745.7,4825.11,84643,16,0
1770105600,4825.15,4948.06,4816.52,4916.13,75648,16,0
1770120000,4916.23,4950.96,4883.83,4932.73,68271,16,0
1770134400,4932.76,4993.67,4893.83,4929.15,107856,16,0
1770148800,4929.11,4964.14,4880.74,4947.02,83212,16,0
1770163200,4947.23,5053.52,4909.96,5046.82,61133,16,0
1770177600,5046.79,5090.43,5035.49,5079.45,52418,16,0
1770192000,5079.49,5091.72,5043.19,5060.01,57498,16,0
1770206400,5060.16,5064.35,5013.4,5053.94,58433,16,0
1770220800,5054.23,5059.07,4855.2,4898.02,114598,16,0
1770235200,4898.01,4970.86,4873.22,4964.88,71753,16,0
1770249600,4977.57,5023.86,4935.93,4958.63,56256,16,0
1770264000,4958.66,4961.51,4789.79,4896.22,101285,16,0
1770278400,4896.21,4943.69,4849.75,4855.18,86671,16,0
1770292800,4855.16,4894.45,4802.04,4835.35,94177,16,0
1770307200,4835.4,4906.41,4800.59,4869.07,119069,16,0
1770321600,4868.83,4875.22,4760.18,4779.68,76157,16,0
1770336000,4790.15,4796.14,4654.84,4774.39,76422,16,0
1770350400,4774.19,4897.92,4761.26,4897.64,73840,16,0
1770364800,4897.61,4903.27,4825.41,4866.73,68940,16,0
1770379200,4866.82,4938.25,4851.75,4928.87,59533,16,0
1770393600,4929.35,4968.5,4894.35,4960.36,83512,16,0
1770408000,4960.37,4971.22,4936.59,4967.44,39658,16,0
1770595200,4980.6,5047.32,4964.54,4982.38,53880,16,0
1770609600,4982.4,5041.49,4969.19,5036.64,53213,16,0
1770624000,5036.11,5045.67,4997.14,5007.71,56027,16,0
1770638400,5007.81,5024.65,4982.29,5007.03,53190,16,0
1770652800,5006.99,5080.42,5002.28,5046.43,70535,16,0
1770667200,5046.3,5086.36,5044.35,5058.54,43652,16,0
1770681600,5060.09,5076.2,4987.81,5032.9,48709,16,0
1770696000,5032.88,5056.2,5011.43,5039.22,52882,16,0
1770710400,5039.14,5063.31,5018.69,5046.92,49405,16,0
1770724800,5046.93,5058.55,5019.82,5050.99,44366,16,0
1770739200,5051.04,5078.61,4998.96,5026.31,75642,16,0
1770753600,5026.31,5045.41,5004.66,5025.35,37943,16,0
1770768000,5026.36,5054.74,5025.47,5052.64,28527,16,0
1770782400,5052.63,5063.97,5032.64,5052.89,34972,16,0
1770796800,5052.94,5071.99,5045.83,5062.74,38152,16,0
1770811200,5062.81,5119.09,5018.68,5065.77,69060,16,0
1770825600,5065.85,5099.02,5035.79,5091.66,101441,16,0
1770840000,5091.51,5094.26,5067.27,5084.38,56719,16,0
1770854400,5085.21,5099.99,5045.14,5063.58,43692,16,0
1770868800,5063.73,5078.41,5051.04,5075.59,40232,16,0
1770883200,5075.61,5080.66,5047.1,5073.25,41226,16,0
1770897600,5073.23,5083.77,5048.76,5075.4,43899,16,0
1770912000,5075.38,5077.78,4878.63,4940.95,112742,16,0
1770926400,4940.85,4958.03,4906.46,4921.62,91963,16,0
1770940800,4923.67,4988.66,4887.46,4980.79,52442,16,0
1770955200,4980.76,4997.34,4944.91,4946.36,50620,16,0
