BIG_SETUP_GRADE_INCONSISTENT,EMA_ENTRY_NOT_ALLOWED,GENERIC_WAIT_REASON,LEGACY_ENTRY_NOT_ALLOWED,LOT_VALID_FALSE_BUT_APPROVED,M1_REQUIRED_BUT_EMPTY,RR_MISSING,SIGNAL_WITH_MISSING_CONTEXT,SIGNAL_WITH_MTFA_FAIL,SIGNAL_WITH_NO_M15_CONFIRMATION,SIGNAL_WITH_NO_M1_CONFIRMATION,SIGNAL_WITH_SMC_FAIL,approved,big_setup_grade,big_setup_score,blocked_reason,bug_flags,confidence,demo_ready,entry,h1_bars,h4_bars,lot_valid,m15_bars,m1_bars,m5_bars,missing_context,mtfa_reason,mtfa_status,reason,risk_reward,safety_guard_reason,safety_guard_status,score,signal,sl,smc_confluence_reason,smc_confluence_status,smc_m15_confirmation,smc_m1_entry_confirmation,strategy,strategy_status,symbol,timestamp,tp
False,False,True,False,False,True,False,False,False,False,False,False,True,C,48,,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.42,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,No breakout retest,1.8,SAFETY_GUARD_PASS,PASS,42.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,BREAKOUT_RETEST,ACTIVE,BTCUSD#,2026-06-01T16:58:27.293584+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,True,C,48,CRT_TBS_CONDITIONS_NOT_MET,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.65,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,CRT_TBS_CONDITIONS_NOT_MET,1.8,SAFETY_GUARD_PASS,PASS,40.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,CRT_TBS_REVERSAL,ACTIVE,BTCUSD#,2026-06-01T16:58:27.319874+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,True,C,48,AMD_FVG_IFVG_CONDITIONS_NOT_MET,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.675,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,AMD_FVG_IFVG_CONDITIONS_NOT_MET,1.8,SAFETY_GUARD_PASS,PASS,45.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,AMD_FVG_IFVG_REVERSAL,ACTIVE,BTCUSD#,2026-06-01T16:58:27.349349+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,True,C,48,FIB_OTE_CONDITIONS_NOT_MET,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.65,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,FIB_OTE_CONDITIONS_NOT_MET,1.8,SAFETY_GUARD_PASS,PASS,40.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,FIB_OTE_RETEST,ACTIVE,BTCUSD#,2026-06-01T16:58:27.376135+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,False,C,38,,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.45,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,No EMA pullback setup,1.8,EMA_PULLBACK_LOW_SMC_SCORE,BLOCK,45.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,EMA_PULLBACK,CONFIRMATION_ONLY,BTCUSD#,2026-06-01T16:58:27.414542+00:00,
False,False,False,False,False,True,False,False,False,False,False,False,True,C,48,SECOND_ENTRY_OBSERVER_ONLY,M1_REQUIRED_BUT_EMPTY,0.4,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,SECOND_ENTRY_OBSERVER_ONLY,1.8,SAFETY_GUARD_PASS,PASS,40.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,SECOND_ENTRY,LEGACY_OBSERVER,BTCUSD#,2026-06-01T16:58:27.456343+00:00,
False,False,False,False,False,True,False,False,False,False,False,False,True,C,48,SCALPING_AGENT_OBSERVER_ONLY,M1_REQUIRED_BUT_EMPTY,0.58,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,SCALPING_AGENT_OBSERVER_ONLY,1.8,SAFETY_GUARD_PASS,PASS,57.99999999999999,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,SCALPING_AGENT,LEGACY_OBSERVER,BTCUSD#,2026-06-01T16:58:27.500168+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,True,C,42,,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.42,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,No breakout retest,1.8,SAFETY_GUARD_PASS,PASS,42.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,BREAKOUT_RETEST,ACTIVE,GOLD#,2026-06-01T16:58:27.558239+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,True,C,42,CRT_TBS_CONDITIONS_NOT_MET,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.65,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,CRT_TBS_CONDITIONS_NOT_MET,1.8,SAFETY_GUARD_PASS,PASS,40.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,CRT_TBS_REVERSAL,ACTIVE,GOLD#,2026-06-01T16:58:27.587117+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,True,C,42,AMD_FVG_IFVG_CONDITIONS_NOT_MET,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.575,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,AMD_FVG_IFVG_CONDITIONS_NOT_MET,1.8,SAFETY_GUARD_PASS,PASS,25.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,AMD_FVG_IFVG_REVERSAL,ACTIVE,GOLD#,2026-06-01T16:58:27.621251+00:00,
