atr_percentile,be_armed,close_mode,direction,dxy_trend,ees_buy_band,ees_buy_score,ees_sell_band,ees_sell_score,entry_price,exit_price,geo,grade,kill_zone_active,killswitch_daily_pnl_at_decision,killswitch_pnl_recalibrated,miners_available,momentum_alignment,momentum_consensus,mtfa,of,r_multiple,real_pnl_mt5,reason,risk_usd,row_kind,score,session,sl,smc,strategy,symbol,ticket,tp,trailing_active,ts_broker,ts_utc
32.4,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),SELL,UP,,,SAIN,38.7,4061.51,4058.78,47.69,C,False,,,False,ALIGNED,BEAR,50.0,85.0,0.02,2.73,,117.12,EXECUTE,59.92,OVERLAP,4178.63,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,377073337,3888.79,True,2026-07-08 17:10:52.754587+00:00,2026-07-08 14:10:52.754587+00:00
37.6,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),SELL,UP,,,,,4054.16,4039.28,62.17,C,False,,,False,ALIGNED,BEAR,50.0,85.0,0.12,14.88,,129.12,EXECUTE,63.54,OVERLAP,4183.28,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,377107269,3863.43,True,2026-07-08 17:19:49.635575+00:00,2026-07-08 14:19:49.635575+00:00
77.7,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),SELL,UP,,,SAIN,19.8,61778.0,61737.4,41.84,C,False,,,False,ALIGNED,BEAR,50.0,95.0,0.02,0.41,,18.03,EXECUTE,61.46,OVERLAP,63581.24,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,377202344,59071.39,False,2026-07-08 17:49:47.835436+00:00,2026-07-08 14:49:47.835436+00:00
43.9,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),SELL,UP,,,,,4044.18,4039.65,49.62,C,False,,,False,ALIGNED,BEAR,50.0,85.0,0.03,4.53,,139.03,EXECUTE,60.41,OVERLAP,4183.21,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,377217803,3834.61,True,2026-07-08 17:55:50.436676+00:00,2026-07-08 14:55:50.436676+00:00
43.9,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),SELL,UP,,,,,4038.17,4033.19,40.31,C,False,,,False,ALIGNED,BEAR,50.0,85.0,0.03,4.98,,145.04,EXECUTE,58.08,OVERLAP,4183.21,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,377233895,3823.56,True,2026-07-08 18:03:21.399477+00:00,2026-07-08 15:03:21.399477+00:00
46.0,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),SELL,UP,,,,,4030.88,4030.58,54.86,C,False,,,False,ALIGNED,BEAR,50.0,85.0,0.0,0.3,,131.91,EXECUTE,61.72,OVERLAP,4162.79,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,377278045,3830.54,True,2026-07-08 18:21:58.039886+00:00,2026-07-08 15:21:58.039886+00:00
78.0,False,BROKER_SL,SELL,UP,,,SAIN,25.2,61579.7,61756.8,43.32,C,False,,,False,ALIGNED,BEAR,50.0,100.0,-0.09,-1.77,,19.83,EXECUTE,63.33,OVERLAP,63562.98,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,377280987,58602.04,False,2026-07-08 18:23:09.963671+00:00,2026-07-08 15:23:09.963671+00:00
47.0,False,NEWS_PRECLOSE (FOMC Meeting Minutes),SELL,UP,,,PRUDENCE,40.0,4024.17,4067.02,52.08,C,False,,,False,ALIGNED,BEAR,50.0,93.0,-0.31,-42.85,,138.38,EXECUTE,63.42,OVERLAP,4162.55,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,377299478,3821.85,False,2026-07-08 18:30:46.641030+00:00,2026-07-08 15:30:46.641030+00:00
78.0,False,BROKER_SL,SELL,UP,,,SAIN,31.2,61612.0,61770.5,47.24,B,False,,,False,ALIGNED,BEAR,55.0,100.0,-0.08,-1.59,,19.45,EXECUTE,65.31,OVERLAP,63557.04,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,377326133,58699.43,False,2026-07-08 18:42:35.748827+00:00,2026-07-08 15:42:35.748827+00:00
78.0,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),BUY,DOWN,SAIN,19.8,SAIN,7.6,61864.9,62023.0,33.16,C,False,,,False,ALIGNED,BULL,50.0,95.0,0.43,1.58,,3.68,EXECUTE,59.29,OVERLAP,61496.56,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,377416232,62416.66,False,2026-07-08 19:35:55.642290+00:00,2026-07-08 16:35:55.642290+00:00
