timestamp_utc,timestamp_casa,hour,symbol,broker_symbol,strategy,direction,entry,stop_loss,take_profit,rr,score,grade,confidence,demo_eligible,session,smc_status,smc_score,mtfa_status,mtfa_score,top_down_status,top_down_missing,top_down_missing_fields,setup_reason,rejection_reason,final_status,sh_decision,safety_decision,router_decision,mt5_status,event_type
2026-06-20T09:14:24.813267+00:00,2026-06-20 10:14:24,2026-06-20 10:00 CASA,BTCUSD#,BTCUSD#,POSITION_SYNC,,,,,,,,,,N/A,,,,,,False,,,,MT5_SYNCED_CLOSED,REJECT,N/A,N/A,SYNCED_CLOSED,POSITION_SYNC
2026-06-20T09:14:26.034206+00:00,2026-06-20 10:14:26,2026-06-20 10:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T09:14:30.558680+00:00,2026-06-20 10:14:30,2026-06-20 10:00 CASA,BTCUSD#,BTCUSD#,POSITION_SYNC,,,,,,,,,,N/A,,,,,,False,,,,MT5_SYNCED_CLOSED,REJECT,N/A,N/A,SYNCED_CLOSED,POSITION_SYNC
2026-06-20T09:14:34.272482+00:00,2026-06-20 10:14:34,2026-06-20 10:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T09:14:35.369345+00:00,2026-06-20 10:14:35,2026-06-20 10:00 CASA,BTCUSD#,BTCUSD#,POSITION_SYNC,,,,,,,,,,N/A,,,,,,False,,,,MT5_SYNCED_CLOSED,REJECT,N/A,N/A,SYNCED_CLOSED,POSITION_SYNC
2026-06-20T09:14:36.113410+00:00,2026-06-20 10:14:36,2026-06-20 10:00 CASA,BTCUSD#,BTCUSD#,POSITION_SYNC,,,,,,,,,,N/A,,,,,,False,,,,MT5_SYNCED_CLOSED,REJECT,N/A,N/A,SYNCED_CLOSED,POSITION_SYNC
2026-06-20T09:14:41.766808+00:00,2026-06-20 10:14:41,2026-06-20 10:00 CASA,BTCUSD#,BTCUSD#,POSITION_SYNC,,,,,,,,,,N/A,,,,,,False,,,,MT5_SYNCED_CLOSED,REJECT,N/A,N/A,SYNCED_CLOSED,POSITION_SYNC
2026-06-20T09:14:45.575198+00:00,2026-06-20 10:14:45,2026-06-20 10:00 CASA,BTCUSD#,BTCUSD#,ORDER_FLOW_EXECUTION_AGENT,BUY,63517.2,62834.9578,64540.5633,1.5,100,A,95,True,WEEKEND,FAIL,15.0,FAIL,15.0,FAIL,False,,ORDER_FLOW_BUY_VWAP_RECLAIM_REJECTION,H1_DIRECTION_CLEAR,ACCEPTED_BUT_ROUTER_BLOCKED,ACCEPT,PASS,BLOCK,NOT_SENT,SETUP_HUNTER
2026-06-20T09:14:45.601443+00:00,2026-06-20 10:14:45,2026-06-20 10:00 CASA,BTCUSD#,BTCUSD#,ORDER_FLOW_EXECUTION_AGENT,BUY,63517.2,62834.9578,64540.5633,1.5,100.0,A,95.0,,UNKNOWN,,,,,FAIL,False,,ORDER_FLOW_BUY_VWAP_RECLAIM_REJECTION,MAX_OPEN_TRADES_PER_SYMBOL,SENT_TO_DEMO_ROUTER,REJECT,N/A,PASS,SENT,DEMO_SKIP
2026-06-20T09:14:47.324839+00:00,2026-06-20 10:14:47,2026-06-20 10:00 CASA,BTCUSD#,BTCUSD#,POSITION_SYNC,,,,,,,,,,N/A,,,,,,False,,,,MT5_SYNCED_CLOSED,REJECT,N/A,N/A,SYNCED_CLOSED,POSITION_SYNC
